"id";"name";"password"
1;"Alice";"password123"
2;"Bob";"securePass456"
3;"Charlie";"mySecret789"
4;"David";"passWord987"
5;"Emma";"safeKey654"
6;"Frank";"lockMe321"
7;"Grace";"hiddenPass111"
8;"Hannah";"secureMe999"
9;"Ian";"hashedPass777"
10;"Jack";"safetyFirst888"
11;"Katherine";"secureWord555"
12;"Liam";"passcode444"
13;"Mia";"123456789"
14;"Noah";"pass9876"
15;"Olivia";"secureIt222"
16;"Paul";"keyToSafe333"
17;"Quinn";"topSecret555"
18;"Ryan";"dontHackMe666"
19;"Sophia";"openSesame777"
20;"Tom";"hard2Guess888"
